"# Figure 4: the full classification to a,b,c <= 12. Z never intersects the quark-hosting set"
a,b,c,boxes,parity,in_Z_degenerate,hosts_quark_cell,pairs_at
0,11,9,49,odd,False,True,even m
0,11,10,52,even,False,False,odd m
0,11,11,55,odd,False,True,even m
0,11,12,58,even,False,False,odd m
0,12,0,24,even,False,False,odd m
0,12,1,27,odd,False,True,even m
0,12,2,30,even,False,False,odd m
0,12,3,33,odd,False,True,even m
0,12,4,36,even,False,False,odd m
0,12,5,39,odd,False,True,even m
0,12,6,42,even,False,False,odd m
0,12,7,45,odd,False,True,even m
0,12,8,48,even,False,False,odd m
0,12,9,51,odd,False,True,even m
0,12,10,54,even,False,False,odd m
0,12,11,57,odd,False,True,even m
0,12,12,60,even,False,False,odd m
1,0,0,1,odd,False,False,even m
1,0,1,4,even,False,False,odd m
1,0,2,7,odd,False,False,even m
1,0,3,10,even,False,False,odd m
1,0,4,13,odd,False,False,even m
1,0,5,16,even,False,False,odd m
1,0,6,19,odd,False,False,even m
1,0,7,22,even,False,False,odd m
1,0,8,25,odd,False,False,even m
1,0,9,28,even,False,False,odd m
1,0,10,31,odd,False,False,even m
1,0,11,34,even,False,False,odd m
1,0,12,37,odd,False,False,even m
1,1,0,3,odd,False,False,even m
1,1,1,6,even,True,False,odd m
1,1,2,9,odd,False,True,even m
1,1,3,12,even,True,False,odd m
1,1,4,15,odd,False,True,even m
1,1,5,18,even,True,False,odd m
1,1,6,21,odd,False,True,even m
1,1,7,24,even,True,False,odd m
1,1,8,27,odd,False,True,even m
1,1,9,30,even,True,False,odd m
1,1,10,33,odd,False,True,even m
1,1,11,36,even,True,False,odd m
1,1,12,39,odd,False,True,even m
1,2,0,5,odd,False,True,even m
1,2,1,8,even,False,False,odd m
1,2,2,11,odd,False,True,even m
1,2,3,14,even,False,False,odd m
1,2,4,17,odd,False,True,even m
1,2,5,20,even,False,False,odd m
1,2,6,23,odd,False,True,even m
1,2,7,26,even,False,False,odd m
1,2,8,29,odd,False,True,even m
1,2,9,32,even,False,False,odd m
1,2,10,35,odd,False,True,even m
1,2,11,38,even,False,False,odd m
1,2,12,41,odd,False,True,even m
1,3,0,7,odd,False,True,even m
1,3,1,10,even,True,False,odd m
1,3,2,13,odd,False,True,even m
1,3,3,16,even,True,False,odd m
1,3,4,19,odd,False,True,even m
1,3,5,22,even,True,False,odd m
1,3,6,25,odd,False,True,even m
1,3,7,28,even,True,False,odd m
1,3,8,31,odd,False,True,even m
1,3,9,34,even,True,False,odd m
1,3,10,37,odd,False,True,even m
1,3,11,40,even,True,False,odd m
1,3,12,43,odd,False,True,even m
1,4,0,9,odd,False,True,even m
1,4,1,12,even,False,False,odd m
1,4,2,15,odd,False,True,even m
1,4,3,18,even,False,False,odd m
1,4,4,21,odd,False,True,even m
1,4,5,24,even,False,False,odd m
1,4,6,27,odd,False,True,even m
1,4,7,30,even,False,False,odd m
1,4,8,33,odd,False,True,even m
1,4,9,36,even,False,False,odd m
1,4,10,39,odd,False,True,even m
1,4,11,42,even,False,False,odd m
1,4,12,45,odd,False,True,even m
1,5,0,11,odd,False,True,even m
1,5,1,14,even,True,False,odd m
1,5,2,17,odd,False,True,even m
1,5,3,20,even,True,False,odd m
1,5,4,23,odd,False,True,even m
1,5,5,26,even,True,False,odd m
1,5,6,29,odd,False,True,even m
1,5,7,32,even,True,False,odd m
1,5,8,35,odd,False,True,even m
1,5,9,38,even,True,False,odd m
1,5,10,41,odd,False,True,even m
1,5,11,44,even,True,False,odd m
1,5,12,47,odd,False,True,even m
1,6,0,13,odd,False,True,even m
1,6,1,16,even,False,False,odd m
1,6,2,19,odd,False,True,even m
1,6,3,22,even,False,False,odd m
1,6,4,25,odd,False,True,even m
1,6,5,28,even,False,False,odd m
1,6,6,31,odd,False,True,even m
1,6,7,34,even,False,False,odd m
1,6,8,37,odd,False,True,even m
1,6,9,40,even,False,False,odd m
1,6,10,43,odd,False,True,even m
1,6,11,46,even,False,False,odd m
1,6,12,49,odd,False,True,even m
1,7,0,15,odd,False,True,even m
1,7,1,18,even,True,False,odd m
1,7,2,21,odd,False,True,even m
1,7,3,24,even,True,False,odd m
1,7,4,27,odd,False,True,even m
1,7,5,30,even,True,False,odd m
1,7,6,33,odd,False,True,even m
1,7,7,36,even,True,False,odd m
1,7,8,39,odd,False,True,even m
1,7,9,42,even,True,False,odd m
1,7,10,45,odd,False,True,even m
1,7,11,48,even,True,False,odd m
1,7,12,51,odd,False,True,even m
1,8,0,17,odd,False,True,even m
1,8,1,20,even,False,False,odd m
1,8,2,23,odd,False,True,even m
1,8,3,26,even,False,False,odd m
1,8,4,29,odd,False,True,even m
1,8,5,32,even,False,False,odd m
1,8,6,35,odd,False,True,even m
1,8,7,38,even,False,False,odd m
1,8,8,41,odd,False,True,even m
1,8,9,44,even,False,False,odd m
1,8,10,47,odd,False,True,even m
1,8,11,50,even,False,False,odd m
1,8,12,53,odd,False,True,even m
1,9,0,19,odd,False,True,even m
1,9,1,22,even,True,False,odd m
1,9,2,25,odd,False,True,even m
