"# Section 5: measured on the potential itself, not inferred from the hypothesis failing"
rep,abc,max|V(a2+1)-V|/scale,period_1_holds
35,"(4,0,0)",0.0,yes
60,"(0,2,1)",0.29619,no
84,"(0,1,3)",0.21021,no
140a,"(1,1,2)",0.04467,no
140b,"(0,3,1)",0.12389,no
224,"(0,2,3)",0.19411,no
280,"(0,4,1)",0.11768,no
360,"(1,2,2)",0.09462,no
756,"(1,3,2)",0.02246,no
